department_id,number_of_orders,number_of_first_orders,percentage
1,2336858,1068800,0.46
2,38086,22583,0.59
3,1225181,455301,0.37
4,9888378,3455782,0.35
5,159294,68302,0.43
6,281155,177217,0.63
7,2804175,971223,0.35
8,102221,40627,0.40
9,905340,486874,0.54
10,35932,15196,0.42
11,468693,317838,0.68
12,739238,318889,0.43
13,1956819,1277020,0.65
14,739069,324192,0.44
15,1114857,603540,0.54
16,5631067,1857344,0.33
17,774652,462205,0.60
18,438743,185290,0.42
19,3006412,1279337,0.43
20,1095540,429309,0.39
21,77396,46877,0.61
